Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
13960      137.78         -48.26           -61.06        289.1              25.57
13970      137.57         -48.26           -61.07        291.6              25.12
13980      137.36         -48.26           -61.09        294.1              24.67
13990      137.16         -48.26           -61.10        296.6              24.22
14000      136.95         -48.26           -61.12        298.6              23.76
14010      136.74         -48.26           -61.14        297.2              23.24
14020      136.54         -48.26           -61.16        296.2              22.76
14030      136.33         -48.26           -61.18        297.0              22.60
14040      136.13         -48.26           -61.21        298.1              22.37
14050      135.92         -48.26           -61.23        299.2              22.04
14060      135.72         -48.26           -61.26        300.0              21.73
14070      135.51         -48.26           -61.28        301.1              21.45
14080      135.31         -48.26           -61.30        301.8              20.98
14090      135.10         -48.26           -61.32        302.6              20.51
14100      134.90         -48.26           -61.35        303.2              20.15
14110      134.70         -48.26           -61.36        301.9              19.60
14120      134.49         -48.26           -61.37        301.1              19.31
14130      134.29         -48.26           -61.39        299.9              19.16
14140      134.09         -48.26           -61.41        298.6              19.01
14150      133.89         -48.26           -61.43        298.9              18.73
14160      133.68         -48.26           -61.45        298.9              18.55
14170      133.48         -48.26           -61.47        299.5              18.55
14180      133.28         -48.26           -61.49        300.0              18.58
14190      133.08         -48.26           -61.51        299.5              18.49
14200      132.88         -48.26           -61.53        299.1              18.44
14210      132.68         -48.26           -61.54        297.1              18.48
14220      132.48         -48.26           -61.56        295.2              18.51
14230      132.28         -48.26           -61.57        293.7              18.54
14240      132.08         -48.26           -61.58        293.7              18.34
14250      131.88         -48.27           -61.61        293.0              18.41
14260      131.68         -48.27           -61.64        292.3              18.47
14270      131.48         -48.27           -61.67        291.7              18.54
14280      131.29         -48.27           -61.70        291.0              18.60
14290      131.09         -48.27           -61.73        288.9              18.69
14300      130.89         -48.27           -61.74        288.6              18.85
14310      130.69         -48.27           -61.75        288.7              19.00
14320      130.50         -48.27           -61.77        291.1              18.89
14330      130.30         -48.27           -61.79        291.5              18.88
14340      130.10         -48.27           -61.81        292.3              18.81
14350      129.91         -48.27           -61.83        292.1              18.80
14360      129.71         -48.27           -61.85        291.2              18.67
14370      129.52         -48.27           -61.86        290.7              18.52
14380      129.32         -48.27           -61.87        288.5              18.29
14390      129.12         -48.27           -61.88        288.0              18.00
14400      128.93         -48.27           -61.91        289.3              18.07
14410      128.74         -48.27           -61.94        290.7              18.19
14420      128.54         -48.27           -61.97        292.2              18.30
14430      128.35         -48.27           -61.99        293.6              18.42
14440      128.15         -48.27           -62.02        295.1              18.54
14450      127.96         -48.27           -62.05        296.5              18.66
14460      127.77         -48.27           -62.08        298.0              18.78
14470      127.58         -48.27           -62.11        299.9              19.26
14480      127.38         -48.27           -62.13        302.7              21.00
14490      127.19         -48.27           -62.14        302.1              21.27
14500      127.00         -48.27           -62.16        301.6              21.54
14510      126.81         -48.27           -62.17        301.0              21.81
14520      126.62         -48.27           -62.19        300.5              22.08
14530      126.43         -48.27           -62.21        299.9              22.35
14540      126.24         -48.27           -62.23        292.6              18.52
14550      126.05         -48.27           -62.24        292.6              18.41
14560      125.86         -48.27           -62.26        292.6              18.30
14570      125.67         -48.28           -62.27        292.7              18.19
14580      125.48         -48.28           -62.29        292.7              18.08
14590      125.29         -48.28           -62.31        292.7              17.97
14600      125.10         -48.28           -62.32        292.8              17.86
14610      124.91         -48.28           -62.34        292.8              17.75
14620      124.72         -48.28           -62.36        292.8              17.64
14630      124.53         -48.28           -62.37        292.8              17.53
14640      124.35         -48.28           -62.39        292.9              17.42
14650      124.16         -48.28           -62.41        292.8              17.31
14660      123.97         -48.28           -62.43        292.1              17.24
14670      123.78         -48.28           -62.45        291.4              17.18
14680      123.60         -48.28           -62.48        290.7              17.11
14690      123.41         -48.28           -62.49        290.8              17.20
14700      123.23         -48.28           -62.50        290.7              17.16
14710      123.04         -48.28           -62.52        290.4              17.12
14720      122.85         -48.28           -62.53        288.5              17.20
14730      122.67         -48.28           -62.55        287.1              17.28
14740      122.48         -48.28           -62.56        285.8              17.37
14750      122.30         -48.28           -62.57        285.1              17.51
14760      122.11         -48.28           -62.59        285.5              17.40
14770      121.93         -48.28           -62.61        285.5              17.23
14780      121.75         -48.28           -62.63        285.5              17.06
14790      121.56         -48.28           -62.65        285.5              16.89
14800      121.38         -48.28           -62.67        285.5              16.73
14810      121.20         -48.28           -62.69        285.5              16.56
14820      121.01         -48.28           -62.71        285.5              16.39
14830      120.83         -48.28           -62.73        285.5              16.22
14840      120.65         -48.28           -62.74        285.5              16.05
14850      120.47         -48.28           -62.76        285.5              16.08
14860      120.29         -48.28           -62.78        285.5              15.93
14870      120.11         -48.28           -62.80        285.5              15.78
14880      119.92         -48.28           -62.82        285.5              15.63
14890      119.74         -48.28           -62.84        285.5              15.49
14900      119.56         -48.29           -62.86        285.5              15.34
14910      119.38         -48.29           -62.88        285.5              15.19
14920      119.20         -48.29           -62.90        285.5              15.04
14930      119.02         -48.29           -62.92        285.5              14.89
14940      118.84         -48.29           -62.94        285.5              14.74
14950      118.66         -48.29           -62.95        285.5              15.28
14960      118.49         -48.29           -62.97        285.5              15.83
14970      118.31         -48.29           -62.98        285.5              16.39
14980      118.13         -48.29           -63.00        285.5              16.94
14990      117.95         -48.29           -63.02        287.5              17.05
15000      117.77         -48.29           -63.03        288.2              15.76
15010      117.60         -48.29           -63.05        288.2              15.53
15020      117.42         -48.29           -63.07        288.2              15.30
15030      117.24         -48.29           -63.09        288.2              15.08
15040      117.06         -48.29           -63.11        288.3              14.85
15050      116.89         -48.29           -63.13        288.3              14.62
15060      116.71         -48.29           -63.15        288.3              14.39
15070      116.54         -48.29           -63.17        288.4              14.16
15080      116.36         -48.29           -63.17        290.2              14.23
15090      116.18         -48.29           -63.18        290.6              14.72
15100      116.01         -48.29           -63.19        289.8              15.04
15110      115.83         -48.29           -63.21        288.0              15.40
15120      115.66         -48.29           -63.24        285.9              16.09
15130      115.49         -48.29           -63.26        283.9              16.78
15140      115.31         -48.29           -63.28        281.9              17.46
15150      115.14         -48.29           -63.31        279.8              18.15
15160      114.96         -48.29           -63.33        278.5              18.35
15170      114.79         -48.29           -63.36        279.4              18.32
15180      114.62         -48.29           -63.38        280.4              18.29
15190      114.45         -48.29           -63.41        281.3              18.26
15200      114.27         -48.29           -63.44        282.2              18.23
15210      114.10         -48.29           -63.47        283.2              18.20
15220      113.93         -48.29           -63.49        281.5              18.34
15230      113.76         -48.29           -63.51        279.0              18.22
15240      113.59         -48.29           -63.54        281.0              18.07
15250      113.41         -48.30           -63.57        282.9              17.93
15260      113.24         -48.30           -63.60        284.5              17.80
15270      113.07         -48.29           -63.61        284.3              17.76
15280      112.90         -48.28           -63.61        284.5              17.68
15290      112.73         -48.25           -63.62        285.8              17.57
15300      112.56         -48.22           -63.64        287.8              17.42
15310      112.39         -48.22           -63.65        288.4              17.18
15320      112.22         -48.21           -63.67        289.0              16.94
15330      112.05         -48.21           -63.69        289.6              16.69
15340      111.88         -48.21           -63.71        290.2              16.45
15350      111.72         -48.20           -63.72        290.8              16.21
15360      111.55         -48.20           -63.74        291.4              15.97
15370      111.38         -48.19           -63.76        292.0              15.72
15380      111.21         -48.19           -63.77        292.6              15.48
15390      111.04         -48.19           -63.78        292.2              15.50
15400      110.88         -48.19           -63.78        290.8              15.63
15410      110.71         -48.19           -63.78        290.6              15.74
15420      110.54         -48.19           -63.78        290.9              15.92
15430      110.38         -48.19           -63.78        291.1              16.10
15440      110.21         -48.19           -63.78        292.9              16.65
15450      110.04         -48.19           -63.79        296.5              16.66
15460      109.88         -48.19           -63.82        297.3              16.63
15470      109.71         -48.19           -63.84        298.2              16.60
15480      109.55         -48.19           -63.86        299.0              16.57
15490      109.38         -48.19           -63.89        299.9              16.54
15500      109.22         -48.19           -63.90        299.2              16.55
15510      109.05         -48.19           -63.92        298.0              16.14
15520      108.89         -48.19           -63.93        297.1              15.80
15530      108.72         -48.19           -63.94        295.6              15.51
15540      108.56         -48.19           -63.96        295.3              15.43
15550      108.40         -48.19           -63.98        294.9              15.34
15560      108.23         -48.19           -63.99        294.6              15.26
15570      108.07         -48.19           -64.01        294.2              15.17
15580      107.91         -48.19           -64.03        293.9              15.09
15590      107.74         -48.19           -64.05        293.5              15.00
15600      107.58         -48.19           -64.07        293.2              14.92
15610      107.42         -48.19           -64.09        292.9              14.83
15620      107.26         -48.19           -64.10        292.5              14.75
15630      107.10         -48.19           -64.12        292.2              14.66
15640      106.93         -48.19           -64.14        291.8              14.58
15650      106.77         -48.20           -64.16        291.5              14.49
15660      106.61         -48.20           -64.18        291.1              14.41
15670      106.45         -48.20           -64.19        290.8              14.37
15680      106.29         -48.20           -64.20        290.7              14.45
15690      106.13         -48.20           -64.22        290.5              14.53
15700      105.97         -48.20           -64.23        290.3              14.60
15710      105.81         -48.20           -64.24        290.1              14.68
15720      105.65         -48.20           -64.25        289.9              14.76
15730      105.49         -48.20           -64.26        289.8              14.84
15740      105.33         -48.20           -64.27        289.6              14.91
15750      105.17         -48.20           -64.28        289.4              14.99
15760      105.02         -48.20           -64.29        289.2              15.07
15770      104.86         -48.23           -64.31        287.8              14.47
15780      104.70         -48.23           -64.32        287.5              14.48
15790      104.54         -48.23           -64.33        287.2              14.49
15800      104.38         -48.24           -64.34        286.9              14.50
15810      104.23         -48.24           -64.35        286.6              14.51
15820      104.07         -48.24           -64.36        286.3              14.52
15830      103.91         -48.24           -64.37        286.0              14.53
15840      103.76         -48.25           -64.39        285.7              14.54
15850      103.60         -48.25           -64.40        285.4              14.56
15860      103.44         -48.30           -64.42        283.3              14.61
15870      103.29         -48.30           -64.42        283.1              14.75
15880      103.13         -48.30           -64.42        282.4              14.82
15890      102.98         -48.31           -64.43        281.8              14.89
15900      102.82         -48.31           -64.43        281.6              14.37
15910      102.67         -48.31           -64.45        282.8              14.02
15920      102.51         -48.31           -64.47        284.4              13.63
15930      102.36         -48.31           -64.49        286.0              13.24
15940      102.20         -48.31           -64.51        287.4              12.86
15950      102.05         -48.31           -64.52        287.6              12.21
15960      101.89         -48.31           -64.52        285.5              12.04
15970      101.74         -48.31           -64.52        283.5              11.87
15980      101.59         -48.31           -64.53        282.1              11.74
15990      101.43         -48.31           -64.55        283.7              11.93
16000      101.28         -48.31           -64.58        285.8              12.24
16010      101.13         -48.32           -64.59        286.7              12.30
16020      100.98         -48.32           -64.61        287.3              12.40
16030      100.82         -48.32           -64.62        288.3              12.79
16040      100.67         -48.32           -64.62        288.9              13.01
16050      100.52         -48.32           -64.63        288.8              13.41
16060      100.37         -48.32           -64.64        288.3              14.06
16070      100.22         -48.32           -64.65        286.3              14.41
16080      100.07         -48.32           -64.67        285.8              14.73
16090      99.92          -48.32           -64.68        284.1              14.90
16100      99.76          -48.32           -64.69        282.4              15.14
16110      99.61          -48.32           -64.70        282.9              15.52
16120      99.46          -48.32           -64.71        281.7              15.86
16130      99.31          -48.32           -64.72        281.2              15.74
16140      99.16          -48.32           -64.74        280.9              15.48
16150      99.02          -48.32           -64.76        280.6              15.23
16160      98.87          -48.32           -64.77        280.3              14.98
16170      98.72          -48.32           -64.79        280.0              14.73
16180      98.57          -48.32           -64.81        279.8              14.47
16190      98.42          -48.32           -64.82        279.5              14.22
16200      98.27          -48.32           -64.82        277.9              15.21
16210      98.12          -48.32           -64.82        276.9              15.75
16220      97.98          -48.32           -64.83        276.1              16.06
16230      97.83          -48.32           -64.84        275.6              16.40
16240      97.68          -48.32           -64.86        275.3              16.77
16250      97.53          -48.32           -64.88        275.8              17.18
16260      97.39          -48.32           -64.89        277.3              16.74
16270      97.24          -48.32           -64.91        278.8              16.29
16280      97.09          -48.32           -64.93        280.3              15.85
16290      96.95          -48.32           -64.95        281.8              15.41
16300      96.80          -48.32           -64.96        283.3              14.98
16310      96.65          -48.32           -64.97        284.4              15.02
16320      96.51          -48.32           -64.98        284.5              14.96
16330      96.36          -48.32           -64.99        284.9              14.87
16340      96.22          -48.32           -65.02        285.7              14.73
16350      96.07          -48.32           -65.04        286.4              14.59
16360      95.93          -48.32           -65.06        287.1              14.52
16370      95.78          -48.32           -65.07        283.9              14.63
16380      95.64          -48.32           -65.07        282.1              14.41
16390      95.49          -48.32           -65.07        279.7              14.44
16400      95.35          -48.32           -65.08        278.6              14.47
16410      95.21          -48.32           -65.08        279.3              13.94
16420      95.06          -48.32           -65.09        279.6              13.82
16430      94.92          -48.33           -65.13        279.7              13.62
16440      94.78          -48.33           -65.16        279.8              13.43
16450      94.63          -48.33           -65.19        279.6              13.11
16460      94.49          -48.33           -65.20        278.5              12.71
16470      94.35          -48.33           -65.21        277.3              12.66
16480      94.21          -48.33           -65.22        276.1              12.70
16490      94.06          -48.33           -65.24        273.2              12.69
16500      93.92          -48.33           -65.27        272.5              12.68
16510      93.78          -48.33           -65.29        270.5              12.72
16520      93.64          -48.33           -65.31        269.7              12.68
16530      93.50          -48.33           -65.32        268.5              12.60
16540      93.36          -48.33           -65.33        267.7              12.53
16550      93.22          -48.33           -65.34        266.8              12.42
16560      93.08          -48.33           -65.35        265.4              12.23
16570      92.94          -48.33           -65.37        264.4              12.04
16580      92.80          -48.33           -65.39        262.5              11.71
16590      92.66          -48.33           -65.41        261.0              11.32
16600      92.52          -48.33           -65.43        260.3              10.76
16610      92.38          -48.33           -65.45        261.5              10.55
16620      92.24          -48.33           -65.47        263.9              10.41
16630      92.10          -48.33           -65.48        266.3              10.42
16640      91.96          -48.33           -65.50        268.7              10.34
16650      91.82          -48.33           -65.52        271.1              10.26
16660      91.68          -48.33           -65.53        273.4              10.18
16670      91.54          -48.33           -65.55        275.8              10.10
16680      91.41          -48.33           -65.56        278.2              10.02
16690      91.27          -48.33           -65.58        280.6              9.94
16700      91.13          -48.33           -65.60        282.9              9.86
16710      90.99          -48.33           -65.61        285.3              9.78
16720      90.86          -48.33           -65.63        287.7              9.70
16730      90.72          -48.33           -65.64        286.9              10.49
16740      90.58          -48.33           -65.65        285.7              11.40
16750      90.45          -48.33           -65.65        284.5              12.32
16760      90.31          -48.33           -65.67        288.9              13.02
16770      90.17          -48.33           -65.69        294.4              13.47
16780      90.04          -48.33           -65.72        294.2              14.02
16790      89.90          -48.33           -65.74        294.0              14.58
16800      89.77          -48.33           -65.77        293.7              15.13
16810      89.63          -48.33           -65.80        293.5              15.69
16820      89.50          -48.33           -65.83        293.2              16.24
16830      89.36          -48.33           -65.85        293.0              16.80
16840      89.23          -48.33           -65.87        292.7              17.14
16850      89.09          -48.33           -65.87        292.6              16.47
16860      88.96          -48.34           -65.88        292.7              15.81
16870      88.82          -48.34           -65.89        292.9              15.40
16880      88.69          -48.34           -65.89        293.0              14.63
16890      88.56          -48.34           -65.90        291.8              14.13
16900      88.42          -48.34           -65.90        291.8              13.64
16910      88.29          -48.34           -65.90        291.4              13.50
16920      88.16          -48.34           -65.91        290.9              12.93
16930      88.02          -48.34           -65.91        291.3              12.50
16940      87.89          -48.34           -65.90        286.5              12.14
16950      87.76          -48.34           -65.90        281.7              11.78
16960      87.63          -48.34           -65.90        277.2              11.43
16970      87.49          -48.34           -65.91        275.0              11.20
16980      87.36          -48.34           -65.91        274.1              10.96
16990      87.23          -48.34           -65.93        273.5              11.06
17000      87.10          -48.34           -65.93        272.8              11.12
17010      86.97          -48.34           -65.94        272.5              11.23
17020      86.84          -48.34           -65.97        272.0              11.52
17030      86.71          -48.34           -65.98        270.9              11.80
17040      86.58          -48.34           -66.00        269.6              12.05
17050      86.44          -48.34           -66.02        268.4              12.31
17060      86.31          -48.34           -66.03        266.7              12.58
17070      86.18          -48.34           -66.03        265.6              12.25
17080      86.05          -48.34           -66.03        265.4              12.35
17090      85.92          -48.34           -66.05        265.0              12.42
17100      85.79          -48.34           -66.08        264.4              12.20
17110      85.67          -48.34           -66.10        263.6              11.92
17120      85.54          -48.34           -66.12        262.4              11.74
17130      85.41          -48.34           -66.13        261.3              11.66
17140      85.28          -48.34           -66.13        261.7              11.49
17150      85.15          -48.34           -66.14        262.0              11.14
17160      85.02          -48.34           -66.14        265.3              10.54
17170      84.89          -48.34           -66.15        266.6              10.31
17180      84.77          -48.34           -66.15        265.9              10.13
17190      84.64          -48.34           -66.16        265.3              9.96
17200      84.51          -48.34           -66.17        264.6              9.79
17210      84.38          -48.34           -66.18        263.9              9.62
17220      84.26          -48.34           -66.19        263.2              9.45
17230      84.13          -48.34           -66.19        262.5              9.28
17240      84.00          -48.34           -66.21        262.7              9.20
17250      83.88          -48.34           -66.22        265.6              9.15
17260      83.75          -48.34           -66.23        267.4              9.14
17270      83.62          -48.34           -66.25        270.6              8.99
17280      83.50          -48.34           -66.26        271.4              8.87
17290      83.37          -48.34           -66.28        273.7              8.76
17300      83.25          -48.34           -66.29        277.5              8.66
17310      83.12          -48.34           -66.30        278.5              8.56
17320      82.99          -48.34           -66.32        283.3              7.96
17330      82.87          -48.34           -66.35        284.3              7.80
17340      82.74          -48.35           -66.37        281.7              7.34
17350      82.62          -48.35           -66.39        279.1              6.88
17360      82.50          -48.35           -66.40        276.6              6.71
17370      82.37          -48.35           -66.41        271.2              6.55
17380      82.25          -48.35           -66.42        271.9              6.49
17390      82.12          -48.35           -66.43        272.5              6.42
17400      82.00          -48.35           -66.44        273.5              6.39
17410      81.88          -48.35           -66.44        274.5              6.64
17420      81.75          -48.35           -66.44        273.7              6.65
17430      81.63          -48.35           -66.44        272.9              6.66
17440      81.51          -48.35           -66.44        272.0              6.68
17450      81.38          -48.35           -66.44        271.2              6.69
17460      81.26          -48.35           -66.44        270.8              6.84
17470      81.14          -48.35           -66.44        272.6              7.51
17480      81.02          -48.35           -66.46        272.1              7.52
17490      80.89          -48.35           -66.49        271.0              7.36
17500      80.77          -48.35           -66.52        269.9              7.19
17510      80.65          -48.35           -66.55        268.8              7.03
17520      80.53          -48.35           -66.58        267.6              6.86
17530      80.41          -48.35           -66.61        266.5              6.70
17540      80.29          -48.35           -66.64        265.4              6.54
17550      80.16          -48.35           -66.67        264.2              6.37
17560      80.04          -48.35           -66.70        263.1              6.21
17570      79.92          -48.35           -66.71        264.5              6.15
17580      79.80          -48.35           -66.73        259.0              5.85
17590      79.68          -48.35           -66.76        252.3              5.51
17600      79.56          -48.35           -66.78        245.7              5.17
17610      79.44          -48.35           -66.79        240.5              4.98
17620      79.32          -48.35           -66.81        244.2              5.09
17630      79.20          -48.35           -66.82        247.9              5.21
17640      79.08          -48.35           -66.83        251.7              5.33
17650      78.96          -48.35           -66.84        255.4              5.45
17660      78.84          -48.35           -66.85        259.1              5.57
17670      78.73          -48.35           -66.87        262.8              5.69
17680      78.61          -48.35           -66.88        266.6              5.80
17690      78.49          -48.35           -66.89        270.3              5.92
17700      78.37          -48.35           -66.90        274.0              6.04
17710      78.25          -48.35           -66.92        277.2              6.17
17720      78.13          -48.35           -66.95        275.7              6.44
17730      78.02          -48.35           -66.97        273.9              7.05
17740      77.90          -48.35           -67.01        273.0              7.55
17750      77.78          -48.35           -67.04        273.5              7.74
17760      77.66          -48.35           -67.07        274.6              7.87
17770      77.55          -48.35           -67.10        275.8              8.00
17780      77.43          -48.35           -67.12        272.7              8.08
17790      77.31          -48.35           -67.12        263.4              7.92
17800      77.20          -48.35           -67.13        251.9              7.68
17810      77.08          -48.35           -67.13        236.3              7.61
17820      76.96          -48.35           -67.15        247.6              7.59
17830      76.85          -48.35           -67.17        258.9              7.56
17840      76.73          -48.35           -67.19        270.2              7.53
17850      76.62          -48.36           -67.20        277.8              7.57
17860      76.50          -48.36           -67.23        259.5              6.76
17870      76.39          -48.36           -67.25        259.0              6.85
17880      76.27          -48.36           -67.26        262.5              7.29
17890      76.16          -48.36           -67.28        265.9              7.81
17900      76.04          -48.36           -67.30        269.4              8.34
17910      75.93          -48.36           -67.31        272.9              8.87
17920      75.81          -48.36           -67.33        276.4              9.39
17930      75.70          -48.36           -67.34        279.9              9.92
17940      75.58          -48.36           -67.36        282.3              10.15
17950      75.47          -48.36           -67.40        281.5              9.45
17960      75.36          -48.36           -67.41        281.8              8.95
17970      75.24          -48.36           -67.43        282.2              8.61
17980      75.13          -48.36           -67.44        282.7              8.41
17990      75.02          -48.36           -67.44        283.5              8.16
18000      74.90          -48.36           -67.44        284.3              7.83
18010      74.79          -48.36           -67.44        285.2              7.80
18020      74.68          -48.36           -67.44        284.5              7.35
18030      74.56          -48.36           -67.45        283.6              6.87
18040      74.45          -48.36           -67.46        282.7              6.38
18050      74.34          -48.36           -67.47        279.7              5.96
18060      74.23          -48.36           -67.48        275.0              5.58
18070      74.12          -48.36           -67.48        270.5              4.69
18080      74.00          -48.36           -67.49        255.8              4.05
18090      73.89          -48.36           -67.50        250.5              4.10
18100      73.78          -48.36           -67.52        245.8              4.18
18110      73.67          -48.36           -67.54        241.1              4.26
18120      73.56          -48.36           -67.55        236.3              4.34
18130      73.45          -48.36           -67.57        231.6              4.42
18140      73.34          -48.36           -67.59        226.9              4.50
18150      73.23          -48.36           -67.61        222.1              4.58
18160      73.12          -48.36           -67.62        217.4              4.66
18170      73.01          -48.36           -67.64        218.2              4.85
18180      72.90          -48.36           -67.64        240.6              5.35
18190      72.79          -48.36           -67.65        252.5              5.56
18200      72.68          -48.36           -67.67        259.8              5.68
18210      72.57          -48.36           -67.70        272.2              5.69
18220      72.46          -48.36           -67.73        270.0              5.57
18230      72.35          -48.36           -67.75        266.1              5.68
18240      72.24          -48.36           -67.78        257.3              5.62
18250      72.13          -48.36           -67.81        252.2              5.46
18260      72.02          -48.36           -67.83        249.7              5.27
18270      71.91          -48.36           -67.85        248.1              5.35
18280      71.80          -48.36           -67.86        251.0              5.43
18290      71.70          -48.36           -67.86        257.4              5.32
18300      71.59          -48.36           -67.87        266.6              5.25
18310      71.48          -48.36           -67.87        275.8              5.48
18320      71.37          -48.36           -67.87        281.3              5.50
18330      71.27          -48.36           -67.88        282.0              5.12
18340      71.16          -48.36           -67.89        286.6              4.98
18350      71.05          -48.36           -67.91        290.0              4.96
18360      70.94          -48.36           -67.92        291.4              5.06
18370      70.84          -48.36           -67.92        292.9              5.18
18380      70.73          -48.36           -67.93        291.1              5.21
18390      70.62          -48.36           -67.93        288.9              5.32
18400      70.52          -48.37           -67.94        285.5              5.61
18410      70.41          -48.37           -67.94        281.1              5.37
18420      70.30          -48.37           -67.95        280.2              5.38
18430      70.20          -48.37           -67.96        284.2              5.36
18440      70.09          -48.37           -67.97        290.2              5.15
18450      69.99          -48.37           -67.98        294.3              4.94
18460      69.88          -48.37           -67.99        295.3              4.77
18470      69.78          -48.37           -68.00        293.9              4.47
18480      69.67          -48.37           -68.01        291.0              4.54
18490      69.57          -48.37           -68.02        288.5              4.70
18500      69.46          -48.37           -68.03        286.4              4.90
18510      69.36          -48.37           -68.04        286.7              5.52
18520      69.25          -48.37           -68.06        290.6              5.25
18530      69.15          -48.37           -68.07        294.5              4.98
18540      69.04          -48.37           -68.08        298.5              4.70
18550      68.94          -48.37           -68.10        302.4              4.42
18560      68.83          -48.37           -68.11        306.3              4.14
18570      68.73          -48.37           -68.13        310.2              3.87
18580      68.63          -48.37           -68.14        314.2              3.59
18590      68.52          -48.37           -68.15        318.1              3.32
18600      68.42          -48.37           -68.17        331.4              3.11
18610      68.32          -48.37           -68.19        328.6              3.19
18620      68.21          -48.37           -68.20        316.4              3.43
18630      68.11          -48.37           -68.22        301.7              3.57
18640      68.01          -48.37           -68.23        286.3              3.57
18650      67.91          -48.37           -68.23        277.2              3.61
18660      67.80          -48.37           -68.23        267.0              3.81
18670      67.70          -48.37           -68.24        256.8              3.79
18680      67.60          -48.37           -68.24        243.7              3.64
18690      67.50          -48.37           -68.26        230.3              3.54
18700      67.40          -48.37           -68.28        222.9              3.28
18710      67.29          -48.37           -68.31        218.2              2.77
18720      67.19          -48.37           -68.34        208.7              2.66
18730      67.09          -48.37           -68.37        198.4              2.63
18740      66.99          -48.37           -68.39        188.3              2.58
18750      66.89          -48.37           -68.40        179.4              2.59
18760      66.79          -48.37           -68.41        165.9              2.77
18770      66.69          -48.37           -68.41        152.9              2.78
18780      66.59          -48.37           -68.42        143.2              2.78
18790      66.49          -48.37           -68.42        138.4              2.84
18800      66.39          -48.37           -68.42        136.4              2.88
18810      66.29          -48.37           -68.42        136.8              2.84
18820      66.19          -48.37           -68.44        137.7              2.94
18830      66.09          -48.37           -68.47        141.6              3.08
18840      65.99          -48.37           -68.50        145.6              3.22
18850      65.89          -48.37           -68.53        151.8              3.27
18860      65.79          -48.37           -68.53        153.4              3.18
18870      65.69          -48.37           -68.53        155.3              3.36
18880      65.59          -48.37           -68.54        163.2              3.27
18890      65.49          -48.37           -68.56        175.0              3.10
18900      65.39          -48.37           -68.58        185.9              2.95
18910      65.29          -48.37           -68.61        192.9              2.86
18920      65.20          -48.37           -68.63        195.1              2.80
18930      65.10          -48.37           -68.66        193.5              2.74
18940      65.00          -48.37           -68.69        203.1              2.63
18950      64.90          -48.37           -68.72        182.7              2.65
18960      64.80          -48.37           -68.74        162.4              2.67
18970      64.71          -48.37           -68.77        142.1              2.69
18980      64.61          -48.37           -68.79        121.8              2.72
18990      64.51          -48.37           -68.81        108.2              2.75
19000      64.41          -48.38           -68.81        135.3              2.83
19010      64.32          -48.38           -68.81        148.2              2.91
19020      64.22          -48.38           -68.83        165.6              2.98
19030      64.12          -48.38           -68.86        182.6              3.09
19040      64.03          -48.38           -68.88        188.1              3.19
19050      63.93          -48.38           -68.90        194.5              3.17
19060      63.83          -48.38           -68.91        201.7              3.23
19070      63.74          -48.38           -68.91        208.8              3.25
19080      63.64          -48.38           -68.92        199.5              3.21
19090      63.55          -48.38           -68.95        158.5              3.18
19100      63.45          -48.38           -68.98        106.4              3.18
19110      63.35          -48.38           -69.01        95.5               3.20
19120      63.26          -48.38           -69.05        81.9               3.14
19130      63.16          -48.38           -69.07        99.8               3.01
19140      63.07          -48.38           -69.09        119.3              2.86
19150      62.97          -48.38           -69.10        129.6              2.86
19160      62.88          -48.38           -69.11        142.4              2.68
19170      62.78          -48.38           -69.12        132.0              2.54
19180      62.69          -48.38           -69.13        134.4              2.81
19190      62.59          -48.38           -69.14        136.8              3.03
19200      62.50          -48.38           -69.15        128.7              3.00
19210      62.41          -48.38           -69.17        125.0              3.12
19220      62.31          -48.38           -69.18        124.8              3.31
19230      62.22          -48.38           -69.20        129.7              3.46
19240      62.12          -48.38           -69.21        133.6              3.38
19250      62.03          -48.38           -69.23        142.2              3.60
19260      61.94          -48.38           -69.25        150.8              3.73
19270      61.84          -48.38           -69.27        155.5              3.89
19280      61.75          -48.38           -69.28        147.9              3.95
19290      61.66          -48.38           -69.29        141.0              4.30
19300      61.56          -48.38           -69.30        137.0              4.74
19310      61.47          -48.38           -69.32        138.1              5.01
19320      61.38          -48.38           -69.33        139.6              5.31
19330      61.29          -48.38           -69.35        136.0              5.67
19340      61.19          -48.38           -69.35        142.1              5.70
19350      61.10          -48.38           -69.35        148.8              5.72
19360      61.01          -48.38           -69.35        155.5              5.73
19370      60.92          -48.38           -69.35        158.3              5.66
19380      60.83          -48.38           -69.36        151.2              5.45
19390      60.73          -48.38           -69.38        134.3              4.92
19400      60.64          -48.38           -69.40        129.8              4.78
