Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
1930       739.86         1.03             -13.54        288.7              3.27
1940       738.94         1.04             -14.45        299.2              3.01
1950       738.03         1.04             -14.91        291.9              3.18
1960       737.12         1.05             -15.21        283.9              3.37
1970       736.20         1.07             -15.43        275.7              3.62
1980       735.29         1.10             -15.79        268.2              3.78
1990       734.38         1.15             -16.12        265.1              3.94
2000       733.47         1.22             -16.37        266.8              4.16
2010       732.57         1.32             -16.59        263.2              4.33
2020       731.66         1.43             -16.78        259.8              4.39
2030       730.76         1.50             -16.95        258.6              4.69
2040       729.85         1.59             -17.23        256.8              4.71
2050       728.95         1.64             -17.61        260.8              4.64
2060       728.05         1.67             -17.99        264.7              4.51
2070       727.15         1.70             -18.68        273.6              4.34
2080       726.25         1.68             -19.22        278.3              4.17
2090       725.35         1.65             -19.75        279.9              4.10
2100       724.45         1.60             -20.05        280.0              4.36
2110       723.56         1.52             -20.33        283.9              4.65
2120       722.66         1.39             -20.54        287.4              4.89
2130       721.77         1.28             -20.67        289.2              5.01
2140       720.87         1.20             -20.75        288.5              5.24
2150       719.98         1.15             -20.77        286.5              5.72
2160       719.09         1.14             -20.75        283.7              6.14
2170       718.20         1.15             -20.72        275.5              6.49
2180       717.31         1.19             -20.69        265.2              6.72
2190       716.42         1.22             -20.71        259.2              6.97
2200       715.53         1.23             -20.75        254.7              6.59
2210       714.65         1.23             -20.82        255.5              6.24
2220       713.76         1.21             -20.95        262.0              6.11
2230       712.88         1.17             -21.12        270.7              5.98
2240       711.99         1.12             -21.28        279.2              5.26
2250       711.11         1.09             -21.41        281.9              3.90
2260       710.23         1.03             -21.60        282.1              3.82
2270       709.35         0.97             -21.80        282.3              3.75
2280       708.47         0.90             -22.02        283.7              3.69
2290       707.59         0.82             -22.25        288.2              3.63
2300       706.71         0.76             -22.46        289.8              3.57
2310       705.83         0.69             -22.68        291.3              3.56
2320       704.96         0.63             -22.89        292.9              3.77
2330       704.08         0.56             -23.11        294.5              3.75
2340       703.21         0.49             -23.34        296.1              3.73
2350       702.33         0.43             -23.56        297.6              3.71
2360       701.46         0.36             -23.79        299.2              3.69
2370       700.59         0.30             -24.01        300.8              3.67
2380       699.72         0.23             -24.21        306.0              4.04
2390       698.85         0.20             -24.33        307.5              4.38
2400       697.98         0.18             -24.44        303.4              4.54
2410       697.12         0.15             -24.58        300.2              4.66
2420       696.25         0.13             -24.74        294.3              4.76
2430       695.38         0.12             -24.87        290.7              4.96
